,title,description
225,Fortune cookies,"Cantonese, vegetable, Chinese, flat, glossy, blue-green, thick, similar, cultivar, gai, white, glabrus, hairless, bitter, ==, be, late, early-winter, last, other, yellow, become, tough, lan, stir-fried, common, Vietnamese, Burmese, External"
226,Fried milk,"pronounced, sweet, deep-fried, North, American, other, such, dynasty, military, recorded, dish, have, several, Eileen, Yin-Fei, Chinese, simple, ancestral, Consistent, variant, ===, Taiwan-based, early, 20th-century, Nationalist, official, open, new, traditional, suit, non-Hunanese, local, unique, international, first, serve, stir-fried, hot, old, 65th, whole, see, Hunanese, be, current, crispy, fried, General, unclear, different, way.These, Chinese-American, ==, basic, rice-wine, red, garlic, dark, Regional, main, nautical, original, soy, prominent, typical, include, saturated, 20-30, daily, niacin, recommended, chicken, External"
227,Fried rice,"related, nightshade, native, traditional, Asian, similar, be, small, significant, Japanese, 3rd, herba, modern, official, derived, common, alternative, unproven, ==, Greek, 23-79, 40-90, ancient, unknown, have, mistaken, English-speaking, several, Chinese, technical, botanical, matrimony, chinese, desert-thorn, ==, early, 21st, Western, unsupported, such, fresh, many, whole, commercial, anti-cancer, false, unverified, strong, regulatory, therapeutic, establish, ed, scientific, safe, effective, referenced, therefore, new, prior, goji, investigative, direct-marketing, clinical, prevent, human, deceptive, other, ensure, unheated, raw, educational, novel, poor, numerous, considerable, basic, investigate, possible, medicinal, vitro, unidentified, inhibit, Such, ===, mitigate, permit, organic, dubious.Since, high, fungicide, imported, wolfberry, dried, red, avoid, full, open, mechanical, main, total, nationwide, wolfberries.The, fertile, industrial, promote, export, annual, decorative, first, meet, potential, processed"
228,Gai lan,"jelly-like, bitter, chilled, other, such, bubble, Outside, Asian, ==, several, little, be, mixed, produce, have, hot, fragrant, translucent, black, make, green, require, leaf, leafy, neutral, plain, fresh, leung, Chinese, different, ===, cincau, instant, use, create, Indonesian, mild, enough, distinct, absent, smoky, sugar, various, cold, skin, Various, milk, short, brown, Philippine, sago, ===, xian, boba, traditional, Taiwanese, numerous, azuki, [, natural, toddy, sương, small, additional, sweet, common, Vietnamese, sa, rau, eat, thạch, tào, thạch, liangfen, 'Cultural"
229,General Tso's Chicken,"Hainanese, seasoned, cucumber, southern, national, culinary, ==, chicken, dish, early, Chinese, well-known, important, specific, make, original, overseas, present-day, ’, “, chicken, servant-class, stretch, Japanese, British, first, critic, ubiquitous, ===, Malaysian, other, theirs, re, careful, ‘, become, live, 15-hour, simple, good, boring, beloved, traditional, entire, sub-boiling, cook, produce, jelly-like, dry.The, flavourful, oily, red, garlic, dark, Fresh, light, sesame, serve, additional, ===, nasi, popular, immigration.The, general, refer, multiple, be, side, steamed, offal.In, ball-sized, chopped, common, khao, chicken-fat, free, local, meat, large, scale, fresh, nam, clear, sliced, yellow, thick, vinegar.One, famous, Taiwanese, various, single, Thai, late, native, alternative, Singaporean, successful, romantic, rival"
230,Gobi Manchurian,"Lamian, Chinese, unique, traditional, make, lamian, ==, hand-making, produce, many, thin, long, pull, stretch, 面/traditional, noodle, several, same, align, warm, workable, cut, middle, keep, desired, final, remove, excess, quick, ensure, uniform, dust, untwisted, double, increase, potential, flat, much, mutton-flavored, tangmian, stir-fried, chaomian, chow, dish, different, Lanzhou-style, common, western, eastern, serve, low, daoxiaomian, 'knife-sliced, Xi'an-style, be, cold, salad, such, shredded, ethnic, halal, typical, Shandong, alien, lanzhou, suit, local, south-eastern, similar, identical, lanzhou, hand-cut, Lanzhou, non-Hui, non-Muslim, mainland, cheap, other, non-Lanzhou, ===, popular, main"
231,Goji berries,"Chinese, shānzhā, discs, cylindrical, label, sweet, tangy, bitter, herbal, ==, haw, be, capable, digestive, available, regular, gourmet, Low, additive, free, conscious, vary, pale, reddish, several, unapproved, artificial, certain, red"
232,Grass jelly,"herbal, deep, magenta-colored, hot, cold, cranberry-like, red, west, African, rosa, popular, several, common, inexpensive, fresh, squeeze, clove, little, chilled, fruit, chopped, drunk, due, strong, Indian, Panamanian, English-speaking, integral, American, soul-food, African-American, social, typical, central, many, open-air, sell, dried, be, national, ===, similar, sweetened, local, Chinese, Italian, lemon, other, European, mixed, malva, enhance, such, ==, low-quality, hypertensive, diabetic, hibiscus, tea, daily, slight, well-tolerated, affect, high"
233,Hainan chicken rice,"sour, several, Asian, culinary, make, ==, use, be, meat-free, key, American, bamboo, sesame, cloud, white, Other, small, Chinese, due, healthy, other, high, overall, ==, regional, hot, meat-based, such, have, red, green, snow, ===, soya, contain, bean, Southeast, Sour, Cambodian, popular, special, Samlar, common, fish, mudfish, catfish, characteristic, vary, available, Possible, various, ngo, lotus, lemon, kaffir, soup-like, stew, indigenous, southern, similar, lemony-scented, lẩu"
234,Hand-pulled noodles,"Jellyfish, informal, common, certain, gelatinous, major, free-swimming, umbrella-shaped, few, mobile, pulsate, provide, efficient, be, capture, defend, complex, sexual, disperse, sedentary, deep, true, marine, similar, colorful, jellyfish, coastal, fast, long-lived, multi-organ, animal, Asian, remove, excess, green, cause, other, stinging, subdue, injure, Many, mild, serious, small, responsible, many, favourable, form, vast, clog, ==, medusae, recent, public, avoid, fish, shellfish, cuttlefish, starfish, scientific, scyphozoans, ==, taxonomic, life-cycle, American, evolutionary, following, general, predatory, stalked, dictionary, transparent, saucer-shaped, extensible, marginal, biological, inexact, salps, medusozoa.The, phylogenetic, included, possible, ===, basic, large, box, medusa, tetramerous, tetra-radial, bowl-shaped, oral, swim, scyphozoan, have, central, stalk-like, terminal, great, entire, such, medusal, polyp, sessile, medusoid, hard, rare, Lantian, main, hollow, jelly-like, hydrostatic, hydro-static, fibrous, engulf, rounded, flex, rudimentary, gastrovascular, gastric, septal, good, free, enzyme-producing, play, radial, join, regular, squarish, box-like, short, stalk, long, powerful, colonial, free-living, non-detachable, solid, resemble, tentacle-bearing, four-sided, nervous, Jellyfish, need, sufficient, navigate, bell-like, active, drift, able, detect, light, water-borne, loose, nerve, net, ganglion-like, constitute, circular, rhopalial, direction.In, ocelli, light-sensitive, tell, pigment, heavy, orient, daily, open, again.Box, advanced, capable, parallel, 360-degree, peculiar, move, rocky, tiny, reproduce, Other, live, grow, fine, thread-like, extend, painful, fatal, giant, late, reach, average, dwarf, wide, strap-like, different, typical, more-typical-looking, asexual, larval, become, transform, adult, skipped.Upon, same, male, female, occasional, sperm, surrounding, unprotected, develop, early, temporary, firm, upward-facing, related, free-floating, tiny, solitary, last, seasonal, hormonal, begin, vary, narrow, transverse, several, upper, deepen, separate, ephyra, produce, new, medusan, benthic, strobila, live, unusual, immortal, medusae, ocean, bell-shaped, push, create, vortex, first, elastic, second, spin, secondary, passive, low, travel, inactive, carnivorous, planktonic, undigested, stun, kill, help, bring, potential, omnivorous, microscopic, mutualistic, spotted, important, eat, swordfish, terrestrial, top, dominant, obvious, previous, juvenile, compete, immune, safe, symbiotic, ten, longnose, environmental, prey, high, current, congregate, survive, nutrient-rich, oxygen-poor, feast, benefit, necessary, turn, contribute, jellyfish, warmer, waters.Some, clear, past, invasive, eastern, tropical, subtropical, agricultural, urban, algal, dead, ahypoxic, bloom, natural, feed, difficult, reestablish, larvae.Jellyfish, subpolar, known, cosmopolitan, golden, form, much, upside-down, shallow, hydromedusae, scyphomedusae, stop, deep-sea, tidal, ebb, gravel, descend, sweep, avoid, fresh, enough, ===, parasitic, intermediate, endoparasitic, definitive, digenean, Fish, infected, southern, rheumatoid, prevent, southeast, cannonball, rigid, harmless, humans.Traditional, involve, 20-, 40-day, multi-phase, mucous, table, crispy, retain, original, processed, white, creamy, yellow, brown, prolonged, storage.In, eaten, raw, cut, ready-to-eat, available, Natural, abundant, use, fluorescent, Man-made, show, specific, genetic, fused, generate, artificial, normal, Often, blue, invisible, closed, transport, Professional, inflow, get, popular, trigger, pierce, inject, adverse, extreme, Spanish, aqueous, acetic, unavailable, encourage, affected, control, fill, split, prehistoric, sunfish, significant, Vicious, documentary, re, nybooks.com"
235,Haw flakes,"Chinese, stir-fried, classic, south-western, regional, ==, be, late, incorrect, imperial, fast-fried, hongbao, chicken, seared, political, original, primary, mixed, prepared, enhance, chili, flash-fried, add, Sichuan-style, such, heaven, Sichuanese, important, authentic, distinctive, numbing, hot, Ma2-la4, typical, chopped, fresh, unroasted, pre-roasted, deep-fried, golden, other, Western, diced, garlic, many, dish, whole, fish"
236,Hibiscus tea,"popular, traditional, Peruvian, other, french, Chinese, mainstream, ==, sirloin, stir, red, typical, cultural, dish, British-Peruvian, loved, rich, old, new, aji, large, many, Peruvian-Chinese, favourite, true, mention, Asian, deny, Chinese-Peruvian, possible, similar, lomo, Spanish-speaking, jump, saltado, have, same, immigrant, replace, short, culinary, unique, exist, Latin, Spanish, soy, black, few, foreign, assorted, regional, Italian, inclusive, available, contradict, chief, lomo, grilled"
237,Hong Kong-style Milk Tea,"tropical, edible, better-known, soapberry, similar, aromatic, native, lùhng-ngáahn, black, translucent, small, hard, enamel-like, lacquered, bark-like, thin, easy, peel, convenient, shell, due, longan, southern, grow, corky, long, thick, drooping.The, oblong, blunt-tipped, wide, alternate, upper, wavy, glossy-green.The, tree, light-yellow, brownish-yellow, two-lobed, hermaphroditic, circular, tan, tiny, large, white, sweet, be, sensitive, frost, sandy, fall, withstand, brief, wild, large-scale, Vulnerable, resprout, Recent, inadequate, contemporary, ==, originate, Other, north, other, nostalgic, late-1800s, warm, sandy-soiled, jump-started, locations.Despite, new, last, first, European, northern, Culinary, superior, agricultural, fresh, raw, Asian, sweet-and-sour, different, messily, grape-like, sour, Chinese, herbal, have, dried, dark, traditional, unusual, prevalent, absorb, ineffective, main, longan-producing, recent, exotic, Commercial, eastern, climb, remove, prevent, Mechanical, damage, delicate, preferred, harvest, used, minimize, high, plastic, bamboo, well-ventilated, further, healthy, markets.In, many, canned, only, known, sulfur, sulfur, few, reduce, cause, blossom, Warm"
238,Hot and sour soup,"LEE-chee, LIE-chee, Chinese, sole, soapberry, tropical, main, other, Indian, tall, lychee, small, fleshy, pink-red, inedible, sweet, flesh, many, different, cause, undernourished, Vietnamese, ==, French, only, commercialized, wild, southern, northern, thin, smooth, common, long, thick, eleven, sessile, evergreen, elliptic-oblong, lanceolate, grey-black, brownish-red, similar, due, convergent, lauroid, terminal, current, white, yellow, green, fragrant.The, ovoid, wide, ×, tough, red, sharp, expose, translucent, floral, brown, dry, edible, dark, high, aborted, 'chicken, perfume-like, fresh, Unofficial, lychee, first, Polish, 1st, such, special, fast, bring, great, favourite, favoured, European, mighty, Spanish, [, call, gallant, hurteth, eate, ==, southeastern, frost-free, well-drained, acidic, organic, available, early, late, warmer, cooler, ornamental, root, significant, folklore, much, be, fruit, central, stereo, Asian, red, intact, numerous, considerable, same, produce, have, various, Southeast, original, popular, several, negligible, raw, rich, vitamin, mg, table, ===, moderate, flavan-3-ol, major, total, animal, unexplained, affect, June.A, low, fatal, hypoglycemic, hypoglycin, malnourished, unripe, empty, Other, unusual, fatty, acute, illness.The, ensure, sufficient, deter, occur, direct, urine, responsible, young, 978-0-8247-9643-3.CS1"
239,Hot Coca-Cola with Ginger,"traditional, Chinese, hot, common, popular, Sichuanese, similar, northern, be, ==, key, chilli, numbing, originate, ancient, big, many, sick, hungry, put, eliminate, communal, choose, eat, take, flat, large, available, same, suggest, used, pay, empty, mid-2010s, desired, high, further, black, chili, self-picked, 15-20, ==, Common, dictionary"
240,Hot Pot,"traditional, Chinese, popular, northern, milled, soft, elegant, white, expensive, pre-industrial, staple, analogous, rice, southern, restaurant, delicate, be, deep, condensed, pre-cooked, frozen, Asian, ready, similar, sweet, filling, baozi, such, equivalent, local, indicate, unfilled, ==, have, other, Western, boiled, eat, many, 13th, cognate, manty, mantı, ==, homophonous, barbarian, present-day, swift-flowing, cross, olden, sacrifice, throw, appease, allow, want, cause, lose, slaughter, fill, human, flat, successful, modern, swampy, steamed, sweet, outside, filled, filled, 饅頭, bean, meat-vegetable, nikuman, refer, Mongolian, dish, fried"
241,Iron Goddess tea,"Chinese, popular, Sichuan, thin, red, chili, douchi, black, minced, other, such, ear, ma-zi, first, old, eat, original, Pock-Marked, many, bean, be, fresh, fragrant, spicy, hot, break, Sino-Japanese, trademark, ==, conventional, characteristic, particular, specific, spicy, soft, aromatic, authentic, easy, find, outside, Sichuanese, adapt, non-Sichuanese, important, necessary, distinctive, chili, broad, salty, Pixian, heaven-facing, garlic, green, Supplementary, thicken, ==, local, widen, American, appeal, edible, meat, little, thick, sweet-and-sour, stark, chicken, tofu"
242,Jellyfish,"faux, vegetarian, vegan, certain, aesthetic, chemical, specific, animal, such, Many, soy-based, e.g, gluten-based, be, pea, protein-based, reduce, religious, dietary, popular, describes, small, other, prepared, consider, tofu, ma, Christian, warm-blooded, forbidden, refer, meat-based, and/or, less-expensive, particular, alternative, modern, ==, traditional, Chinese, xiǎo, later, Song, consuming, able, consume, greaves.The, medical, feed, centuries-old, wheat, yam, make, finished, Other, defatted, vegetable, former, thin, boiled, latter, dry, soy, egg, white, well-received, healthy, chicken, California-based, different, mimic, similar, synthetic, replicate, mixed, processed, first, non-dairy, nutritional, sour, dried, unsuitable, textural, baked, soybean, meat, available, pure, minimum, oil-free, dissolve, alkaline, acidic, precipitate, neutral, “, complete, essential, crucial, proper, human, semi-liquid, contain, unsaturated, acyl, lipid, soybean, olive, contribute, flavor, unilateral, stabilize, include, polyglycerol, fatty, dicarboxylic, sucrose, Sucrose, have, phospholipid, effective, water-hydratable, heat-coagulable, content, desirable, fibrous, generate, positive, inhibit, meat-like, optimal, basic, thermoplastic, fiber, Thermoplastic, ready-to-eat, simple, large-scale, wet, heated, elevated, homogenized, Special, overmix, decrease, start, coagulate, max, inner, Turbulent, aggressive, undesirable, non-meat, parallel, flow, low, Reynold, take, linear, direction.Fiber, produce, due, key, inexpensive, create, general, aqueous, extrude, polymer, form, pH, average, prior, further, edible, carboxy, keep, proceed, final, suitable, Overall, fine, complicated, tight, Physical, protein, high, give, sufficient, resist, large, occur, peptide, weak, non-covalent, overall, important, natural, plastic, crystalline, hydrophobic, unique, typical, physical, mechanical, reversible, sol-gel, ”, amorphous, Sol-gel, solid, colloidal, relieve, rearrange, stressed, extent, elastic, various, irreversible, right, viscoelastic, applied, partial, dependent, Newtonian, viscous, proportional, simplified, complex, stretched, analogous, thermal, rubber-like, kinetic, free, random, displace, compress, direct, water-in-oil, water-soluble, continuous, prolonged, flavor-containing, peanut, rice, flour, Research"
243,Kosher Chinese food,"traditional, Chinese, eaten, lunar, indispensable, Mid-Autumn, important, Typical, round, rich, red, thin, contain, small, customary, present, fuel, high-end, Due, other, western, ==, whole, full, Traditional, top, surround, additional, mythical, ancient, offer, 15th, central, popular, recent, many, festival, such, 'Mooncake, folk, overthrow, Mongolian, have, deadly, only, prevent, eat, special, revive, give, quick, secret, eighth, print, simple, read, reveal, destroy, ===, be, lían, original, luxurious, lotus, high, white, Sweet, bean, dòu, common, azuki, regional, mung, black, sweet, ripe, dark, little, sour, mixed, maltose, candied, vegetarian, use, vegetable, reddish-brown, glossy, Cantonese-style, Western, thick, lye, sodium, 鹼, tender, Cantonese, 'piglet, symbolize, fish, Flaky, indicative, stir-fried, similar, puff, certain, flaky, chewy, shortcrust, homogenous, Regional, Beijing-style, Suzhou-style, foamy, flaky, decorated.Cantonese-style, multiple, various, elaborate, Recent, contemporary, Shanghai-style, taro, Kong-style, own, local, snow, last, few, Chaoshan-style, close, Ningbo-style, prevalent, compact, generous, savory, latter, hot, Yunnan-style, distinctive, buckwheat, Contemporary, particular, due, commercial, drive, intense, cater, health-conscious, prominent, overseas, individual, unusual, yù, pineapple, durian, first, different, skin, colour, bad, wear, funeral, coloured, allow, cut, large, adapt, fat-free, high-fiber, low-sugar, choose, added, airtight, tiny, Contemporary-style, bubble, point, chocolate, exotic, take, much, include, novelty, commonplace, modern, change, custard-style.Some, go, up-market, excellent, Gold-plated, possible, find, entire, pure, create, ice-cream, snow-skin, Other, volcanic-salt, early, non-baked, chilled, Glutinous, snowskin, ice-skin, snowy, wide, major, diverse, add, maintain, several, main, Japanese, circular, regular, available, ===, direct, Vietnamese, baked, sticky, uncommon, resemble, basic, balance, salted, protect, make, pre-cooked, glutinous, further, Taiwanese-style, sweetened, lu, trendy, Taiwanese, low, free, ice, Popular, green, Thai-Chinese, Durian-filled, soft, double, single, beautiful, corporate, known, top-selling, consecutive, lava, mainland, sell-out, typical, mooncake, social"
244,Kung Pao Chicken,"imperial, authentic, dish, little, closed, hung, sweet, bean, pickled, other, be, ==, roast, shāo, later, main, first, upper, local, roast, efficient, mid-20th, national, secret, inconclusive, joint, following, visit, savor, particular, favorite, various, political, former, notable, centuries-old, household, own, prepare, small, black, major, Chinese, Often, spill, grain, new, white, feathered, Newborn, free, next, traditional, separate, short, dry, maltose, second, five-spice, stand, cool, dry, shiny, produce, ===, Closed-oven, shú, closed-oven, Open-oven, open, same, pear, use, dangle, 30-second, open-oven, crispy, prepared, ==, cooked, garlic, warm, cool, steamed, Several, vegetable, accompany, cucumber, watermelon, radish, 鸭架, stir-fried, sautéed, boiling, hot, reheat, thin, several, Notable, long, high, old, worldwide, aromatic, similar, popular, latter, century.The, deep, fat, Asian, deep-fried, fried, cuisine"
245,Lamb skewers,"pineapple, Chinese, Japanese, sweet, popular, common, contain, characteristic, ==, intangible, cultural, key, resemble, dough, similar, make, crunchy, bread, same, Western, traditional, sugary, top, golden-brown, checkered, Many, such, buttered, butter, be, hot, large, much, ==, Other, come, luncheon, pre-stuffed, red, bean, custard, shredded, 椰絲菠蘿包, possible, likely, non-native, bakers.Japanese, German, streusel-like, main, sound, nonsensical, ===, several, 7-Eleven, tainted, unlicensed"
246,Lion's Head meatballs,"shrimp, deep, fried, common, Asian, ==, Other, old, Indonesian, crab, German, nuvole, dragon, Italian, Spanish, Japanese, かっぱえびせん, popular, ==, many, umbrella, refer, prawn, other, ubiquitous, udang, achieve, maximum, pre-packed, raw, be, sun-dried, first, cook, hot, Raw, small, hard, major, ====, festive, such, Chinese, myReal, English, fish, mass-produced, commercial, powdered, fish, various, similar, chicharon, vinegar-based, southern, traditional, mixed, cuttlefish, arrowroot, tapioca, black, cut, round, form, slice, thin, Modern, oval, bánh, nấm, shiitake, straw, ===, ====, use, white, pale, green, tend, easy, find, accompany, takeaway, roasted, vegan, available, contain, historical, familiar, Dutch-Indonesian, standard, former, present, eliminate, dry, deep-fried, high, few, thumb-sized, semi-transparent, fluffy, open, soften, become, low, airtight, preserve, unfried, oriental, general, premium, aromatic, artificial, enhance, cause, expand, retain, Fish"
247,Lomo Saltado,"Chinese, fermented, tea, microbial, black, dark, different, 红茶, red, known, imperial, raw, rough, be, complex, gradual, new, pu'er, accelerated, ripe, various, mature, ==, trade, ethnic, long, crude, low, major, southwestern, early, third, standardized, postwar, sudden, improved, further, finished, many, tasted, similar, teas, demand-driven, artificial, recent, full, common, distinct, unoxidized, green, large, southern, western, small, typical, yellow, other, loose, leaf, produce, several, unaged, unprocessed, subtle, small-leaf, broad-leaf, second, 3-4, 1-2, due, undergone, secondary, free-radical, unique, chemical, separate, pǔ'ěr, large-leaf, stop, sheng, shou, ===, dry, keep, minimal, first, appropriate, prevent, unwanted, optional, wilt/wither, ventilated, wilt, remove, rainy, light, slight, affect, dry-roasted, shā, enzyme, bruise, hot, pan-frying, kill, air-dried, minor, important, occur, significant, dry, undergo, make, loose-leaf, natural, uncompressed, numerous, matured, imitate, cooked, employ, inaccurate, convert, approximate, prolonged, fungal, warm, much, composting.The, piled, bacterial, vary, multiple, wide, key, ripened, high, result, bad, aged, wet, simulate, air, savory, gallic, antioxidant, carcinogen-trapping, epigallocatechin, gallocatechin, total, traditional, additional, actual, specific, final, perforated, soften, tacky, allow, hold, crumble, nèi, such, colored, cloth, extra, dimpled, reverse, square, past, hydraulic, metal, pressed, latter, iron, benefit, careful, heavy, short, wooden, give, rounded, non-uniform, stone-pressing, artisanal, latticed, take, ===, harvested, whereas, large-scale, naming, endless, solid-state, negligible, responsible, amino, variable, harmful, systematic, Asian, apparent, have, safe, human, Other, hollow, Western, general, improper, incorrect, create, oxidation, involve, become, anaerobic, i.e, main, available, inferior, muddy, fishy, sour, slow, clean, assertive, ====, vast, =====, provide, excellent, akin, terroir, produced, designated, dynasty, commemorative, native, located, close, purple, 小勐宋, twentieth, prohibitive, revitalize, great, tea-producing, original, =====, notable, famous, powerful, bitter, sweet, wild, hand-processed, ====, late, standard, geographical, restrict, tea, little, international, grade, come, pleasant, harsh, Wild, previous, feral, organic, scheduled, good, old, Such, same, overwhelming, young, related, so-called, command, challenging, difficult, unclear, uncultivated, tall, yěshēng, blended, inconsistent, misleading, confuse, uninitiated, printed, annual, credible, unscrupulous, Many, maintain, trust, help, mitigate, trustworthy, assure, genuinely, complicated, certain, physical, point, specialist, amongst, thick, sawtooth-edged, numbered, consistent, balance, winter, strict, monthly, small-scale, state-owned, few, twentyfirst, private, former, government-owned, four-digit, recipe, digit, last, denote, fourth-grade, fourth, unknown, year-to-year, label, 8653-602, indicate, able, single, determine, thin, contain, wrap, possible, 内票, piào, cure, cake, compressed, broken, improve, reveal, inner, particular, curb, vintage, production-specific, identify, non-Yunnan, forest, dependent, bamboo, coarse, tong, find, individual, mini-'bǐngchá'Twelve, equal, Leaf, stone-pressed, hydraulic-pressed, surface, golden, bingcha, forth.Just, environmental, stagnant, lead, dank, stale, arrest, strong, acquire, reduce, accelerate, cause, desirable, affected, sunlight, high, undesirable, develop, slow, contribute, well-aged, Due, optimal, check, know, proper, halt, earthy, analogous, oolong, own, change, smooth, rich, autumn, roasted, show, comfortable, humid, hazardous, drink, ambient, lengthy, alter, direct, liquid, unpleasant, moderate, open, maocha, lose, side-by-side, unprofitable, requisite, evolve, over, increase, Investment-grade, drop, leave, well-sized, entire, soft, pu'erh, oyster, rigid, pry, horizontal, minimize, vertical, Optimum, yield, astringent, aromatic, dried, spent, true, concrete, extraneous, white, mold, whole, appear, fragile, Good, fragrant, sole, Well-aged, well-crafted, reddish, persist, subsequent, added, ideal, herbal, floral, preserved, exhibit, grassy, fresh, smell, unoffensive, enjoyable, stuffy, lack, off-sour, Spent, Whole, limited, crumble, resemble, remain, closed, Cantonese, bo-nay, po-nay, drunk, dim, uncommon, add, osmanthus, chrysanthemum, fat, unsubstantiated, lesser-quality, fluorosis, fluoride, ==, Popular, Japanese"
248,Longan fruit,"taxonomic, medium-sized, tropical, edible, native, Indonesian, other, several, ==, numerous, hairy, noun-building, messy, various, wild, Arab, major, Indian, limited, rambutan, 19th, Suriname, coastal, Further, introduce, southeastern, be, unsuccessful, evergreen, alternate, wide, broad, entire, small, apetalous, discoidal, erect, terminal, wide.Rambutan, male, staminate, female, hermaphroditic, oval, single-seeded, borne, loose, pendant, reddish, fleshy, pliable, lead, translucent, whitish, pale, acidic, reminiscent, grapes.The, single, glossy, white, Soft, equal, saturated, unsaturated, peeled, raw, grape-like, nutty, attractive, many, main, abundant, cerana, large, significant, sticky, Little, intense, preferred, small-scale, helpful, important, humid, popular, best-known, southern, western, top, fresh, Evergreen, beautiful, climacteric, appear, produce, such, Low, mechanical, affect, general, short, ambient, extend, productional, hot-forced, help, former, warm, sensitive, deep, sandy, rich, organic, thrive, good, air-layering, common, sour, fruit, optimum, commercial, available, high, brown, certain, arachidic, traditional, bear, late, early, Other, ripe, fragile, ripen, four-, seven-week, average, lb, young, reach, cultivated, improved, high-yielding, compact, vegetative, greenish-white, nonfunctional, Male, yellow, greenish-yellow, bilobed, receptive, persist, Chinese, annual, rain, dry, open, Initial, approach, observe, seasonal, off-season, sweet-scented, functional, ovary, Female, similar, occur, dependent, bagged, maintain, natural, 'Cimacan, 'Simacan, joint, first, local, difficult, separate, identical, diverse, modest, manganese, moderate, right, canned, have, different, nutrient, unpigmented, contain, colorful, phenolic, gallic, ellagic, antioxidant, fatty, fat, pleasant, volatile, phenylacetic, cinnamic, culinary"
249,Lychee,"Red, common, several, refer, Adzuki, Japanese, Korean, Chinese, red, bean, Indian, North, American, such, chili"
250,Malatang,"Chinese, Cantonese, Shanghainese, [, Japanese, red, subtropical, dark, purple-red, ==, small, medium-sized, evergreen, smooth, gray, uniform, spherical, hemispherical, dioecious, separate, female, poor, acidic, obvious, deep, brilliant, vary, white, purple, flesh, similar, surface, sweet, single, whole, rubra, direct, indirect, be, new, native, eastern, south-central, considerable, economic, prolific, yangmei, double, traditional, classical, Asian, large, fresh, alcoholic, dry, such, trade-marked, main, sour, dried, Other, pasteurized, Various, horticultural, nitrogen-fixing, microbial, several, prefectural, many, old"
251,Mantou,"Chinese, rou, ==, commonly, possible, use, few, many, flavourful, available, beef, lamb, authentic, flour, oven-baked, cook, vary, Western, be, Other, zhi, special, ji, bai, ==, Must-Try"
252,Mapo Tofu,"green, bǐng, Chinese, Korean"
253,Mock meat,"large, ice-based, fine, crushed, sweet, frozen, be, various, produce, shaved, Many, Italian, commercial, such, street, ==, first, collect, nearby, imperial, natural, rare, supreme, available, Heian, ordinary, afford, Japanese, warm, enough, snow-capped, ===, contiguous, several, regional, prominent, fruit-cream, marshmallow, many, Spanish, other, classic, snow, frío, cold, Hawaiian, resemble, Asian, adzuki, common, Spanish-speaking, scraped, wide, chili, guanabana, pyramid, western, Puerto, Rican, fixed, attract, Sno-ball, ====, ice, local, central, condensed, copos, top, handheld, actioned, rotary, electrical, have, liquid, much, granizados, Snow, add, solid, red, vary, Taiwanese, canned, Other, plain, colorful, different, sweeten, hot, sell, similar, ice, sweetened, fresh, soybean, popular, finely-shaved, real, plain, Cambodian, shaved, choose, green, layer, ais, durian, use, shave, rough, green-coloured, glutinous, es, Halo-halò, mix-mix, mais, namkhaeng, toddy, sticky, young, black, thin, chewy, low-cost, گولا, indigenous, khus, literal, multiple, –"
254,Mooncake,"Chinese, dish, similar, Chinese-based, sweet, ==, de-boned, battered, deep-fried, reddish-brown, semi-thick, chicken, last, major, sesame, relative, unfinished, small, be, such, regularly, ===, popular, same, potential, chopped, chicken, Restaurant-style"
255,Pan-fried dumplings,"Sichuan, used, Chinese, global, black, chili, be, whole, five-spice, traditional, various, native, aromatic, qīng, green, exact, different, same, essential, sanshō, refer, interchangeably.Related, popular, other, homemade, garlic, warm, huā, lesser-used, shān, Tasmanian, Japanese, Korean, related, strict, northern, common, current, scholarly, hua, generic, such, viable, taxonomical, wild, regard, Indian, टिमुर, Nepal, Indonesian, specific, have, dehydrated, prickly, sell, ==, Culinary, unique, hot, pungent, white, lemony, hydroxy, alpha, carbonated, mild, electric, nine-volt, act, several, induce, touch, cold, nonsensitive, cause, general, neurological, tiny, shiny, gritty, sand-like, last, numbing, key, má, sweetened, available, huajiao, stir-fry, noodle, include, accompany, make, ground, mixed, sambal, grilled, regional, few, important, Bhutanese, yak, pepper-based, Nepalese-style, fiery, Z., beta-myrcene, limonene, 1,8-cineole, methyl, cineole, 4-terpineol, alpha-terpineol, capable, bacterial, difficult, control, harm, human, ten, kill, dried, heat, enter, active, ===, Molecular, Make"
256,Peking duck,"vegetable, pickled, be, refer, other, Chinese, several, fist-sized, swollen, green, hot, red, ferment, similar, produce, Korean, sour, sauerkraut, unique, tender—can, use, remove, Excess, preserved, fresh, ==, many, various, authentic, thin, small, due, extreme, popular, cài, ròusī, common, suit, Japanese, –, dry, Sichuan, tumida"
